days_since_last_activity,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,repo_activity_density,churn
3227,0.3916,2.8,0.0,1.0,0.0,1
86,1.2456,2.0,0.0,1.0,0.0,0
270,0.0955,1.75,0.0,1.0,0.0,1
12,1.3757,0.6667,0.0,1.0,0.0,0
60,1.2695,1.75,0.5714,0.4286,0.7254,0
182,0.2854,1.2727,0.0,1.0,0.0,1
30,8.4601,1.2727,0.0,1.0,0.0,0
18,4.1369,1.0769,0.0417,0.9583,0.1724,0
2,11.0126,0.7,1.0,0.0,11.0126,0
3264,0.1844,4.6667,0.0,1.0,0.0,1
4,4.1349,0.359,0.0476,0.9524,0.1969,0
93,7.4724,0.875,0.12,0.88,0.8967,0
34,0.586,0.6364,0.0,1.0,0.0,0
33,1.5871,1.5556,0.5714,0.4286,0.9069,0
97,0.0,0.875,0.0,0.0,0.0,0
115,1.9842,0.4375,0.0,1.0,0.0,0
4,3.8393,0.6667,0.0667,0.9333,0.256,0
794,0.1572,2.0,0.0,1.0,0.0,1
242,1.1156,2.3333,0.0,1.0,0.0,1
89,0.095,0.4667,0.0,1.0,0.0,0
46,0.1906,0.4516,0.0,1.0,0.0,0
47,0.8262,0.8235,0.0,1.0,0.0,0
29,4.3314,0.3333,0.0408,0.9592,0.1768,0
13,12.506,1.0769,0.0,1.0,0.0,0
14,15.2188,1.0,0.129,0.871,1.9637,0
15,20.126,1.75,0.5062,0.4938,10.1872,0
1462,0.0,4.3333,0.0,0.0,0.0,1
25,10.3632,1.0,0.0204,0.9796,0.2115,0
40,1.2405,0.7647,0.1429,0.8571,0.1772,0
1,2.2361,0.9286,0.0312,0.9688,0.0699,0
12,1.2717,0.8125,0.0,1.0,0.0,0
24,1.8531,13.0,0.0667,0.9333,0.1235,0
6,3.9878,1.1818,0.1818,0.8182,0.7251,0
767,0.2235,0.3611,0.0,1.0,0.0,1
29,0.3249,2.1667,0.25,0.75,0.0812,0
563,2.2136,13.0,1.0,0.0,2.2136,1
27,2.7787,0.5652,1.0,0.0,2.7787,0
1487,0.0,0.8667,0.0,0.0,0.0,1
890,0.7286,3.25,0.0,1.0,0.0,1
55,2.2914,0.619,0.04,0.96,0.0917,0
21,21.7475,0.2955,0.0186,0.9814,0.4052,0
18,12.175,0.9286,0.2913,0.7087,3.5461,0
3735,0.0966,0.325,0.0,1.0,0.0,1
18,0.6458,0.8125,0.0,1.0,0.0,0
23,3.1906,1.1818,0.1429,0.8571,0.4558,0
1683,0.0,1.3,0.0,0.0,0.0,1
7,5.6806,1.0,0.0,1.0,0.0,0
2,0.4832,4.3333,0.1667,0.8333,0.0805,0
23,0.5529,6.5,0.0,1.0,0.0,0
5,2.103,4.3333,0.04,0.96,0.0841,0
26,2.7308,2.1667,0.0625,0.9375,0.1707,0
96,1.5537,2.1667,0.0,1.0,0.0,0
1063,7.0606,1.1818,0.0,1.0,0.0,1
94,4.8969,0.4062,0.0,1.0,0.0,0
26,6.6332,1.0,0.0213,0.9787,0.1411,0
247,11.6484,0.9286,0.0,1.0,0.0,1
120,0.1684,2.1667,0.0,1.0,0.0,0
14,16.8133,0.325,0.0597,0.9403,1.0038,0
31,0.2426,0.7647,0.5,0.5,0.1213,0
17,0.3039,0.9286,0.0,1.0,0.0,0
7,3.7125,1.0,0.0385,0.9615,0.1428,0
94,1.7861,1.0833,0.0,1.0,0.0,0
2,0.4672,0.2549,0.0,1.0,0.0,0
293,0.7641,1.3,0.0,1.0,0.0,1
109,1.1649,1.4444,0.1333,0.8667,0.1553,0
4,0.4642,0.7222,0.0,1.0,0.0,0
75,12.1317,0.1781,0.2143,0.7857,2.5996,0
1271,0.0,12.0,0.0,0.0,0.0,1
146,11.3844,1.0909,0.0,1.0,0.0,0
58,1.0398,1.5,0.1429,0.8571,0.1485,0
124,0.2223,2.0,0.0,1.0,0.0,0
4,3.9623,1.0,0.0455,0.9545,0.1801,0
24,9.0712,0.24,0.0294,0.9706,0.2668,0
520,3.7512,0.4138,0.0,1.0,0.0,1
14,0.3168,12.0,1.0,0.0,0.3168,0
6,0.192,1.2,0.5,0.5,0.096,0
493,1.9627,12.0,0.2,0.8,0.3925,1
77,0.9299,0.7059,0.0,1.0,0.0,0
9,1.3243,1.2,0.0,1.0,0.0,0
18,1.4565,3.0,0.1538,0.8462,0.2241,0
104,0.8132,2.0,0.375,0.625,0.305,0
3207,1.9349,12.0,0.0,1.0,0.0,1
17,2.123,12.0,0.0,1.0,0.0,0
14,2.2704,0.5,0.0,1.0,0.0,0
25,5.4908,0.7059,0.08,0.92,0.4393,0
51,5.4372,6.0,0.8235,0.1765,4.4777,0
21,1.3805,1.0909,0.0,1.0,0.0,0
231,0.2645,1.0909,0.0,1.0,0.0,1
299,1.4361,0.8,0.0,1.0,0.0,1
2124,1.3519,4.0,0.0,1.0,0.0,1
133,2.7307,6.0,0.0345,0.9655,0.0942,0
18,2.8575,0.8,0.0,1.0,0.0,0
48,3.972,0.6,0.0435,0.9565,0.1727,0
106,0.0,0.2927,0.0,0.0,0.0,0
83,0.9229,6.0,0.0,1.0,0.0,0
108,13.8483,1.3333,0.75,0.25,10.3863,0
11,2.8721,0.4138,0.1379,0.8621,0.3961,0
194,0.3515,1.5,0.0,1.0,0.0,1
5,23.8926,416.0833,0.0338,0.9662,0.8072,0
130,19.5346,104.9783,0.0,1.0,0.0,0
10,6.3614,3870.0,0.0238,0.9762,0.1515,0
20,33.1806,49.4808,0.1825,0.8175,6.0568,0
502,1.4793,2516.0,0.0,1.0,0.0,1
49,14.0303,0.4916,0.2637,0.7363,3.7003,0
23,0.9562,0.592,0.5,0.5,0.4781,0
3,1.9105,381.5,0.0588,0.9412,0.1124,0
1643,11.1018,1496.0,0.0,1.0,0.0,1
525,1054.7273,1415.0,0.1026,0.8974,108.2405,1
