account_age_days,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,avg_stars_per_repo,avg_forks_per_repo,repository_maintenance_ratio,churn
5304,0.482,1.2083,1.0,0.0,0.0,0.0,0.0,0
3735,0.489,0.6905,0.0,1.0,0.6,0.2,0.0,1
2232,6.0548,14.5,0.1351,0.8649,0.8378,0.3514,0.1622,0
3326,2.0865,0.5714,0.7895,0.2105,0.0,0.0,0.5789,0
3380,8.4288,0.2276,0.0769,0.9231,0.0256,0.0256,0.0256,0
4209,0.6074,2.1538,0.1429,0.8571,1.4286,0.4286,0.1429,0
4112,2.3095,0.5,0.0769,0.9231,1.4615,0.4231,0.1154,0
1345,12.4918,1.0,0.0,1.0,0.0435,0.0,0.0,1
5500,1.793,4.6667,0.037,0.963,0.2593,0.2222,0.0741,0
2212,5.2839,0.56,0.2188,0.7812,0.25,0.125,0.25,0
4508,0.2431,0.4375,0.3333,0.6667,0.6667,0.0,0.0,0
1288,8.791,1.5556,0.0323,0.9677,0.0968,0.0323,0.0323,0
1547,12.5134,1.0,0.0755,0.9245,0.0189,0.0,0.0189,0
4832,1.0583,0.359,0.0,1.0,0.5,0.0,0.0,0
3146,1.3932,0.4828,0.4167,0.5833,0.3333,0.0,0.4167,0
3452,8.7821,0.5625,0.0482,0.9518,0.494,0.0602,0.012,0
5209,0.1402,1.08,0.0,1.0,0.0,0.5,0.0,0
1365,3.4786,1.125,0.0,1.0,0.8462,0.0,0.0769,0
418,20.0975,1.0,0.2174,0.7826,0.0435,0.0435,0.0435,0
4447,3.9424,0.7105,0.0208,0.9792,0.5833,0.0625,0.0208,0
4672,6.6452,0.2755,0.1647,0.8353,0.1059,0.0588,0.0353,0
2500,4.6752,0.8438,0.0312,0.9688,0.1562,0.0312,0.0312,0
799,16.914,27.0,0.2162,0.7838,0.8919,0.027,0.1351,0
4535,4.7519,0.75,0.1017,0.8983,0.339,0.2034,0.0339,0
1430,12.5156,1.7333,0.0204,0.9796,0.1224,0.0,0.0,0
4652,1.8058,1.1304,0.0,1.0,0.0,0.0,0.0,1
5536,0.9897,8.6667,0.0,1.0,0.2667,0.0,0.0,1
5690,2.6319,2.8889,0.0244,0.9756,0.1951,0.0488,0.0488,0
420,26.0893,0.6047,0.3667,0.6333,0.8,0.1333,0.1,0
4581,0.7176,1.8571,0.0,1.0,2.0,1.3333,0.0,0
4073,2.78,0.7647,0.0645,0.9355,0.0968,0.0323,0.0,0
789,1.3888,26.0,0.0,1.0,3.3333,0.3333,0.0,1
5487,2.5961,4.3333,0.1026,0.8974,0.6154,1.4615,0.0256,0
6152,2.078,1.1304,0.0,1.0,0.1143,0.0,0.0,0
3822,2.0069,2.0833,0.2381,0.7619,1.0476,0.0476,0.1905,0
3907,2.9916,0.2174,0.0,1.0,0.0625,0.0312,0.0,0
1497,10.4915,0.4808,0.0698,0.9302,0.093,0.0233,0.0698,0
560,18.9147,1.3158,0.4138,0.5862,0.0,0.0,0.1034,0
4645,0.3145,0.5952,0.0,1.0,1.0,0.0,0.0,0
4741,4.4684,0.2,0.069,0.931,0.0172,0.0345,0.0517,0
3857,11.5532,1.5625,0.0246,0.9754,0.0492,0.041,0.0,0
4808,0.3798,1.0,0.0,1.0,0.0,0.2,0.0,1
4827,25.6515,0.5556,0.0059,0.9941,0.0826,0.0265,0.0029,0
4341,2.6083,0.7576,0.2258,0.7742,0.0968,0.0645,0.0323,0
4432,0.2472,2.7778,0.0,1.0,0.3333,0.0,0.0,0
3626,0.9066,1.087,0.6667,0.3333,0.0,0.0,0.4444,0
5472,1.0012,1.1364,0.0,1.0,0.1333,0.0667,0.0,1
2045,5.3582,0.8065,0.0,1.0,0.4333,0.0,0.0,0
2110,5.3662,0.4211,0.0968,0.9032,0.2258,0.0645,0.129,0
2418,4.5316,2.1818,0.1333,0.8667,0.7667,0.3,0.0333,0
