followers_following_ratio,account_age_days,repos_per_year,avg_stars_per_repo,avg_forks_per_repo,active_repo_ratio,churn
1.75,4595,1.8282,0.087,0.087,0.1304,0
5.25,1934,6.61,1.7429,0.3429,0.4571,0
1.8182,4946,2.5108,0.1176,0.0588,0.0294,0
0.5714,3583,1.8349,0.0556,0.0,0.0,0
0.625,2234,4.5779,0.1429,0.0,0.3214,0
0.7143,3638,2.008,0.1,0.05,0.05,0
1.8182,2873,2.1612,0.0588,0.0,0.2353,0
1.0526,1721,11.6727,0.0545,0.0,0.0545,0
1.5385,5096,0.6451,0.2222,0.0,0.4444,0
20.0,2480,0.0,0.0,0.0,0.0,0
0.2941,1666,0.0,0.0,0.0,0.0,0
0.3774,2136,5.9849,0.2286,0.4,0.1143,0
1.3333,5437,1.2764,0.6316,0.1579,0.1053,0
0.4255,3952,0.5545,1.6667,0.5,0.0,1
20.0,868,0.4208,2.0,0.0,0.0,1
1.1765,4387,0.5828,0.5714,0.2857,0.0,0
20.0,2949,1.1147,1.3333,0.3333,0.0,0
1.0526,588,11.1811,0.1111,0.0,0.3333,0
1.2667,4446,1.3966,0.1176,0.8235,0.1765,0
0.3065,3897,8.0604,0.0233,0.0,0.0349,0
0.2754,4333,5.6478,0.2388,0.1642,0.0597,0
2.1111,4459,2.9489,0.0278,0.0,0.0278,0
19.0,1242,0.2941,1.0,0.0,1.0,0
2.375,3084,0.9475,0.375,0.25,0.125,1
0.5,1368,12.0148,0.0,0.0444,0.0,0
19.0,4589,1.2735,0.25,1.5,0.0625,0
0.3878,4372,0.6683,0.0,0.0,0.125,0
1.0556,2425,9.6396,0.3281,0.0,0.0938,0
1.4615,5754,0.3174,0.0,0.0,0.0,0
19.0,1419,0.5148,0.0,0.0,0.0,1
0.7308,5397,1.9626,0.069,0.069,0.0345,0
4.75,1585,7.6046,0.0303,0.0,0.0303,0
0.475,3546,0.721,0.2857,0.0,0.0,0
0.6129,3767,2.7149,0.4643,0.0,0.2143,0
0.5135,1914,4.5799,0.0417,0.0,0.0833,0
0.8636,3184,0.9177,0.25,0.5,0.0,0
0.7917,1331,10.9767,0.6,0.025,0.05,0
0.6552,2064,4.601,0.1923,0.0,0.2308,0
0.2969,3667,2.1913,0.2727,0.2273,0.1818,0
0.5294,2661,1.6471,0.1667,0.4167,0.1667,0
0.5,4960,7.4376,0.0297,0.0594,0.0,1
0.8571,4095,2.8542,0.0,0.0625,0.0,1
0.6207,2517,0.0,0.0,0.0,0.0,0
0.5143,3604,1.8242,0.7778,0.3889,0.0,0
1.3846,2774,3.1601,0.2083,0.0417,0.125,0
1.3846,3709,2.3634,0.125,0.0833,0.0833,0
0.45,5149,0.8512,0.1667,0.0,0.0,0
1.0,2457,0.7433,0.0,0.0,0.0,1
1.0,2193,12.1583,0.0137,0.0959,0.0,1
0.1395,3152,22.8281,0.0355,0.1472,0.0,0
0.1208,2639,16.747,0.0165,0.0,0.0661,0
1.2,2273,6.2669,0.2308,0.0513,0.0256,0
1.2857,4480,1.386,0.0,0.0,0.0588,0
1.0588,2908,2.0096,0.625,0.625,0.25,0
1.8889,4282,0.853,0.4,0.3,0.0,1
1.4167,4862,1.8781,0.12,0.0,0.0,1
0.2464,3733,2.5439,0.0385,0.0385,0.2308,0
0.2429,3304,2.3215,0.1429,0.0476,0.1429,0
0.5,5077,0.0719,0.0,0.0,0.0,1
1.3077,3269,2.3464,0.0476,0.0476,0.0,1
3.4,3887,2.5371,0.0741,0.0,0.037,0
5.6667,2554,6.1495,0.4419,0.3256,0.1628,0
0.68,3571,2.0456,0.0,0.05,0.0,1
0.85,4865,1.4265,0.0,0.0,0.0526,1
1.0,2713,2.9619,0.2273,0.0455,0.0,0
3.4,3981,0.6422,0.1429,0.0,0.0,1
0.6296,3109,2.4671,0.0476,0.0,0.5238,0
0.7083,2928,2.1206,0.7059,0.0588,0.3529,0
1.8889,3566,1.6388,0.4375,0.0,0.25,0
0.5484,3821,1.625,0.1176,0.1765,0.0,0
0.7727,2935,2.3645,2.6842,0.0526,0.4211,0
1.3077,3441,9.3409,0.0455,0.0227,0.0455,0
1.2143,4107,3.5573,0.2,0.05,0.05,0
1.1333,2201,1.9914,0.0,0.0,1.0,0
0.6538,3370,3.9018,0.0,0.0,0.0,0
0.9444,4181,1.5725,0.0,0.0,0.1111,0
0.4474,2499,1.7539,0.5,0.0,0.0,0
0.9444,2279,6.571,0.0488,0.0488,0.0,0
0.2909,3729,1.2733,0.1538,0.0,0.3846,0
0.5517,324,6.7639,0.0,0.0,1.0,0
0.5333,1734,1.6851,0.0,0.0,0.375,0
2.0,2785,1.8361,0.1429,0.0714,0.0714,0
4.0,6332,0.1154,0.0,0.0,0.0,0
0.8889,3492,1.4643,0.0,0.0,0.0,0
0.5161,5202,0.7723,0.2727,0.0,0.0,0
1.6,5053,2.9636,0.0244,0.0,0.122,0
2.0,6467,0.9037,0.0,0.0,0.0,0
0.2162,3800,1.3457,2.0,0.0714,0.0,0
1.3333,5523,2.8437,0.093,0.0,0.0,0
0.9412,2960,0.2468,0.0,0.0,0.5,0
0.9412,5326,0.4801,0.2857,0.0,0.2857,0
0.7619,146,20.0137,0.375,0.0,1.0,0
5.3333,6294,0.6383,0.0,0.0909,0.0,1
1.3333,5482,0.2665,0.0,0.0,0.0,1
1.0,2939,1.7399,0.2143,0.0,0.0,1
3.2,1925,0.9487,0.0,0.0,0.0,1
1.1429,3487,23.0442,0.1545,0.0364,0.1136,0
2.2857,5709,1.2796,0.15,0.0,0.05,0
3.75,4459,0.0,0.0,0.0,0.0,1
0.8333,3110,3.171,0.037,0.0,0.0,1
1.5,3813,4.6937,0.102,0.0,0.0204,0
3.75,3756,8.0713,0.0361,0.012,0.0241,0
1.0714,1220,3.892,1.3846,0.1538,0.9231,0
