days_since_last_activity,account_age_days,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,churn
43,2785,1.8361,2.0,0.0714,0.9286,0
101,6332,0.1154,4.0,0.0,1.0,0
105,3492,1.4643,0.8889,0.0,1.0,0
16,5202,0.7723,0.5161,0.0,1.0,0
6,5053,2.9636,1.6,0.122,0.878,0
19,6467,0.9037,2.0,0.0,1.0,0
104,3800,1.3457,0.2162,0.0,1.0,0
3,5523,2.8437,1.3333,0.0,1.0,0
14,2960,0.2468,0.9412,0.5,0.5,0
13,5326,0.4801,0.9412,0.2857,0.7143,0
59,146,20.0137,0.7619,1.0,0.0,0
233,6294,0.6383,5.3333,0.0,1.0,1
409,5482,0.2665,1.3333,0.0,1.0,1
381,2939,1.7399,1.0,0.0,1.0,1
657,1925,0.9487,3.2,0.0,1.0,1
101,3487,23.0442,1.1429,0.1136,0.8864,0
3,5709,1.2796,2.2857,0.05,0.95,0
511,4459,0.0,3.75,0.0,0.0,1
792,3110,3.171,0.8333,0.0,1.0,1
107,3813,4.6937,1.5,0.0204,0.9796,0
28,3756,8.0713,3.75,0.0241,0.9759,0
26,1220,3.892,1.0714,0.9231,0.0769,0
34,2104,5.7287,0.75,0.0303,0.9697,0
107,4374,0.9186,0.75,0.2727,0.7273,0
1537,2864,0.0,7.5,0.0,0.0,1
73,4448,2.7098,0.5556,0.1212,0.8788,0
97,3374,2.1651,1.25,0.0,1.0,0
634,991,1.4743,15.0,0.25,0.75,1
42,4266,1.2843,3.0,0.0667,0.9333,0
4,1814,1.8122,3.75,0.4444,0.5556,0
392,5142,0.3552,1.3636,0.0,1.0,1
67,4918,2.5994,1.0,0.0286,0.9714,0
14,2121,0.0,15.0,0.0,0.0,0
18,4454,0.82,1.875,0.0,1.0,0
6,1332,10.6943,1.875,0.0256,0.9744,0
60,4256,3.1753,0.8824,0.0,1.0,0
5,2826,1.6802,0.8333,0.0,1.0,0
719,4469,1.7163,1.3636,0.0,1.0,1
