login,days_since_last_activity,account_age_days,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,avg_stars_per_repo,avg_forks_per_repo,repo_activity_density,repository_maintenance_ratio
salinash4,439,4302,1.1037,0.2112,0.0769,0.9231,0.0,0.0,0.0849,0.0
cmasdev,21,2831,0.3871,0.4304,0.3333,0.6667,0.3333,0.0,0.129,0.3333
JackTNorris,33,2662,6.586,0.33,0.0833,0.9167,0.1458,0.0625,0.5488,0.0833
Eldonratzlaff,72,1727,5.7103,0.55,0.0,1.0,1.8889,0.037,0.0,0.0
neowinx,20,5047,8.9015,3.6667,0.0163,0.9837,0.1707,0.0732,0.1447,0.0
MatiSamudio,22,632,10.9806,1.32,0.5263,0.4737,0.0526,0.0526,5.7793,0.1579
claspina,139,5031,1.6698,0.8205,0.0,1.0,0.3913,0.2609,0.0,0.0
yolile,48,4488,2.9298,10.6667,0.0,1.0,0.3333,0.1667,0.0,0.0
krugerdavid,76,5702,0.8968,0.64,0.2857,0.7143,1.5714,0.2857,0.2562,0.0714
stan-issa,18,5133,0.0712,1.1429,1.0,0.0,2.0,0.0,0.0712,1.0
mfidabel,107,3705,3.1547,1.0667,0.0,1.0,0.25,0.0625,0.0,0.0
MatiasLGonzalez,260,2651,3.72,0.9697,0.0,1.0,0.5556,0.1111,0.0,0.0
pescode,136,4506,0.5674,6.4,0.1429,0.8571,3.2857,0.4286,0.0811,0.0
gvescu,8,5009,1.2396,1.55,0.0,1.0,0.4118,0.2941,0.0,0.0
jencisopy,29,3782,1.1589,6.2,0.0833,0.9167,0.8333,0.5833,0.0966,0.0
yaninasanabria,321,2401,0.1521,1.4762,0.0,1.0,0.0,0.0,0.0,0.0
anibalc9,9,4517,0.2426,0.6458,0.0,1.0,1.0,0.0,0.0,0.0
jg2kpy,1,2702,3.1091,0.4189,0.087,0.913,0.8261,0.1739,0.2704,0.087
rodrigovz,72,4910,0.0,1.069,0.0,0.0,0.0,0.0,0.0,0.0
Gustavogdfpy,95,1685,0.2168,0.625,0.0,1.0,0.0,0.0,0.0,0.0
The-DiosBot-MD,100,1284,4.8359,30.0,0.2353,0.7647,3.8235,2.6471,1.1379,0.1176
Walker088,354,3681,5.8543,0.5,0.0,1.0,0.678,0.4068,0.0,0.0339
Zalimben,46,4509,2.3491,1.875,0.069,0.931,0.2759,0.3448,0.162,0.1034
jesusoviedo,37,4495,4.3066,1.5,0.0189,0.9811,0.0943,0.0377,0.0813,0.0189
vanelo,34,4024,3.1769,0.6522,0.0,1.0,0.0857,0.0286,0.0,0.0286
eeeds,5,2378,8.2942,3.0,0.037,0.963,2.4815,0.2222,0.3072,0.0185
hofmanndavid,12,5462,0.3344,0.6818,0.2,0.8,1.0,0.0,0.0669,0.2
mauri-medina,41,3516,1.2466,1.5789,0.0833,0.9167,3.0833,0.5,0.1039,0.0
samuelrosaarruda,636,1605,2.9584,1.1154,0.0,1.0,0.0769,0.0,0.0,0.0
SamuelUru2001,9,1792,1.4268,2.9,0.0,1.0,0.4286,0.0,0.0,0.0
bernaldani,42,5086,5.4579,1.16,0.0,1.0,0.0395,0.0,0.0,0.0
